=== MEXC MENTO TOKEN CRAWLER DATA ===
Crawled at: 2025-09-17 07:48:36
Total tokens: 1
Total order book entries: 237
============================================================

=== TOKEN DATA ===
Name	Symbol	Latest Price	Price Change %	Volume 24h	Total Volume	Start Time	End Time	Crawled At
MENTO	MENTO	0.6800	+9.67%	295.9900	30.59K	2025-08-05 11:00:00	Đợi xác nhận	2025-09-17 07:44:11

============================================================
=== MENTO ORDER BOOK DATA ===
Token Symbol	Crawled At	Order Type	Price	Quantity	Total
MENTO	2025-09-17 07:44:22	Mua	0.6400	500	320.0000
MENTO	2025-09-17 07:44:22	Mua	0.6790	160	108.6400
MENTO	2025-09-17 07:44:22	Mua	0.6790	100	67.9000
MENTO	2025-09-17 07:44:22	Mua	0.6900	30	20.7000
MENTO	2025-09-17 07:44:22	Mua	0.7890	70	55.2300
MENTO	2025-09-17 07:44:22	Mua	0.8000	13	10.4000
MENTO	2025-09-17 07:44:22	Mua	0.8000	20	16.0000
MENTO	2025-09-17 07:44:22	Mua	0.8800	120	105.6000
MENTO	2025-09-17 07:44:22	Mua	0.8890	60	53.3400
MENTO	2025-09-17 07:44:22	Mua	0.9000	12	10.8000-1
MENTO	2025-09-17 07:44:33	Mua	0.9000	12	10.8000
MENTO	2025-09-17 07:44:33	Mua	0.9900	11	10.8900
MENTO	2025-09-17 07:44:33	Mua	0.9900	70	69.3000
MENTO	2025-09-17 07:44:33	Mua	1.0000	10	10.0000
MENTO	2025-09-17 07:44:33	Mua	1.0000	60	60.0000
MENTO	2025-09-17 07:44:33	Mua	1.0000	10	10.0000
MENTO	2025-09-17 07:44:33	Mua	1.0000	10	10.0000
MENTO	2025-09-17 07:44:33	Mua	1.0000	15	15.0000
MENTO	2025-09-17 07:44:33	Mua	1.0000	10	10.0000
MENTO	2025-09-17 07:44:33	Mua	1.0000	10	10.0000-2
MENTO	2025-09-17 07:44:44	Mua	1.0000	10	10.0000
MENTO	2025-09-17 07:44:44	Mua	1.0000	100	100.0000
MENTO	2025-09-17 07:44:44	Mua	1.1000	10	11.0000
MENTO	2025-09-17 07:44:44	Mua	1.2000	9	10.8000
MENTO	2025-09-17 07:44:44	Mua	1.3000	8	10.4000
MENTO	2025-09-17 07:44:44	Mua	1.4000	8	11.2000
MENTO	2025-09-17 07:44:44	Mua	1.4990	50	74.9500
MENTO	2025-09-17 07:44:44	Mua	1.5000	7	10.5000
